hypothesis,model,adjusted,estimand,widest_CI_excl_reference,point_estimate,ci_low,ci_high,model_check,data_version
d_dimer_death,jm,"age, sex",log(HR),0.9695,0.48890369096539393,0.044070180992708895,1.0502090509983957,Suspicious,9f64434d7d5780d6e5d28902bbd66efc
d_dimer_death,jm,"age, sex, hcq",log(HR),0.989,0.5705311749629702,0.09802608929996086,1.132210538631889,Problematic,9f64434d7d5780d6e5d28902bbd66efc
IL_6_death,jm,"age, sex",log(HR),1,1.7307924288884446,0.5388098224169918,3.51674881573114,Suspicious,9f64434d7d5780d6e5d28902bbd66efc
IL_6_death,jm,"age, sex, hcq",log(HR),0.9995,1.904859567677487,0.6250590167491267,3.8778294626173277,Suspicious,9f64434d7d5780d6e5d28902bbd66efc
